Output Class
Speed Limit 5
Speed Limit 5
Speed Limit 5
Speed Limit 5
Speed Limit 5
Speed Limit 5
Speed Limit 5
Speed Limit 5
Speed Limit 5
Speed Limit 5
Speed Limit 5
Speed Limit 5
Speed Limit 15
Speed Limit 15
Speed Limit 15
Speed Limit 15
Speed Limit 5
Speed Limit 15
Speed Limit 15
Speed Limit 15
Speed Limit 15
Speed Limit 5
Speed Limit 30
Speed Limit 60
Train Crossing
Speed Limit 30
Speed Limit 30
Speed Limit 60
Speed Limit 60
Speed Limit 60
Speed Limit 60
Speed Limit 60
Speed Limit 30
Speed Limit 30
Speed Limit 30
Speed Limit 30
Speed Limit 30
Speed Limit 30
Unknown 4
Speed Limit 60
Speed Limit 60
Speed Limit 60
Speed Limit 30
Speed Limit 30
Speed Limit 30
Train Crossing
Train Crossing
Speed Limit 30
Speed Limit 30
Speed Limit 60
Speed Limit 30
Unknown 4
Speed Limit 30
Speed Limit 60
Train Crossing
Speed Limit 30
Speed Limit 30
Speed Limit 60
Speed Limit 60
Speed Limit 60
Speed Limit 60
Speed Limit 60
Speed Limit 30
Speed Limit 30
Speed Limit 30
Speed Limit 30
Speed Limit 30
Speed Limit 30
Unknown 4
Speed Limit 60
Speed Limit 60
Speed Limit 60
Speed Limit 30
Speed Limit 30
Speed Limit 30
Train Crossing
Train Crossing
Speed Limit 30
Speed Limit 30
Speed Limit 60
Speed Limit 30
Unknown 4
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 60
Speed Limit 5
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 40
Traffic Signals
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 60
Speed Limit 5
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 40
Traffic Signals
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 60
Speed Limit 60
Speed Limit 60
Speed Limit 60
Speed Limit 60
Speed Limit 60
Speed Limit 50
Speed Limit 60
Speed Limit 60
Speed Limit 60
Speed Limit 60
Speed Limit 60
Speed Limit 60
Speed Limit 60
Speed Limit 60
Speed Limit 60
Don't go right
Speed Limit 60
Speed Limit 60
Speed Limit 60
Speed Limit 40
Speed Limit 40
Speed Limit 60
Speed Limit 60
Speed Limit 60
Speed Limit 60
Speed Limit 60
Train Crossing
Speed Limit 60
Speed Limit 60
Speed Limit 60
Speed Limit 60
Speed Limit 60
Speed Limit 60
Speed Limit 60
Speed Limit 50
Speed Limit 60
Speed Limit 60
Speed Limit 60
Speed Limit 60
Speed Limit 60
Speed Limit 60
Speed Limit 60
Speed Limit 60
Speed Limit 60
Don't go right
Speed Limit 60
Speed Limit 60
Speed Limit 60
Speed Limit 40
Speed Limit 40
Speed Limit 60
Speed Limit 60
Speed Limit 60
Speed Limit 60
Speed Limit 60
Train Crossing
Speed Limit 60
Speed Limit 60
Unknown 4
Speed Limit 40
Speed Limit 60
Speed Limit 40
Unknown 4
Speed Limit 60
Speed Limit 5
Speed Limit 5
Speed Limit 60
Speed Limit 40
Speed Limit 60
Speed Limit 5
Speed Limit 5
Speed Limit 60
Speed Limit 60
Speed Limit 40
Speed Limit 40
Train Crossing
Unknown 4
Unknown 4
Unknown 4
Unknown 4
Train Crossing
Speed Limit 60
Speed Limit 60
Unknown 4
Speed Limit 40
Speed Limit 60
Speed Limit 40
Unknown 4
Speed Limit 60
Speed Limit 5
Speed Limit 5
Speed Limit 60
Speed Limit 40
Speed Limit 60
Speed Limit 5
Speed Limit 5
Speed Limit 60
Speed Limit 60
Speed Limit 40
Speed Limit 40
Train Crossing
Unknown 4
Unknown 4
Unknown 4
Unknown 4
Train Crossing
Speed Limit 60
No Stopping
No Stopping
No Stopping
No Stopping
No Stopping
No Stopping
Speed Limit 40
No Stopping
No Stopping
No Stopping
No Stopping
No Stopping
Speed Limit 60
Speed Limit 60
No Stopping
No Stopping
No Stopping
No Stopping
No Stopping
No Stopping
No Stopping
Speed Limit 40
No Stopping
No Stopping
No Stopping
No Stopping
No Stopping
Speed Limit 60
Speed Limit 60
No Stopping
Speed Limit 5
Speed Limit 40
Train Crossing
Speed Limit 60
Speed Limit 60
Speed Limit 5
Speed Limit 60
Train Crossing
Speed Limit 60
Speed Limit 60
Speed Limit 60
Speed Limit 60
Speed Limit 60
Speed Limit 60
No Left
Speed Limit 60
Train Crossing
Speed Limit 60
Speed Limit 60
Speed Limit 60
Speed Limit 60
Speed Limit 60
Speed Limit 60
Train Crossing
Speed Limit 60
Speed Limit 5
Speed Limit 40
Train Crossing
Speed Limit 60
Speed Limit 60
Speed Limit 5
Speed Limit 60
Train Crossing
Speed Limit 60
Speed Limit 60
Speed Limit 60
Speed Limit 60
Speed Limit 60
Speed Limit 60
No Left
Speed Limit 60
Train Crossing
Speed Limit 60
Speed Limit 60
Speed Limit 60
Speed Limit 60
Speed Limit 60
Speed Limit 60
Train Crossing
Speed Limit 60
Yield
Yield
Yield
Yield
Yield
Yield
Yield
Yield
Yield
Yield
Yield
Yield
Yield
Yield
Speed Limit 30
Speed Limit 30
Speed Limit 30
Speed Limit 30
Speed Limit 30
Speed Limit 30
Speed Limit 30
Speed Limit 30
Speed Limit 30
Speed Limit 30
Speed Limit 30
Speed Limit 30
Speed Limit 30
Speed Limit 30
Speed Limit 30
Speed Limit 30
Speed Limit 30
Speed Limit 30
Speed Limit 30
Speed Limit 30
Speed Limit 30
Speed Limit 30
Speed Limit 30
Speed Limit 30
Speed Limit 30
Speed Limit 30
Speed Limit 30
Speed Limit 30
Speed Limit 30
Speed Limit 30
Speed Limit 30
Speed Limit 30
Speed Limit 30
Speed Limit 30
Speed Limit 30
Speed Limit 30
Speed Limit 30
Speed Limit 30
Speed Limit 30
Speed Limit 30
Speed Limit 30
Speed Limit 30
Speed Limit 30
Speed Limit 30
Speed Limit 30
Speed Limit 30
Speed Limit 30
Speed Limit 30
Speed Limit 30
Speed Limit 30
Speed Limit 30
Speed Limit 30
Speed Limit 30
Speed Limit 30
Speed Limit 30
Speed Limit 30
Speed Limit 30
Speed Limit 30
Speed Limit 30
Speed Limit 30
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 50
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 40
Unknown 4
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 50
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 50
Speed Limit 40
Speed Limit 40
Speed Limit 15
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 30
Speed Limit 30
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 50
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 40
Unknown 4
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 50
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 50
Speed Limit 40
Speed Limit 40
Speed Limit 15
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 30
Speed Limit 30
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 40
Speed Limit 40
Don't go right or left
Don't go right or left
Don't go right or left
Don't go right or left
Don't go right or left
Don't go right or left
Don't go right or left
Don't go right or left
Don't go right or left
Don't go right or left
Don't go right or left
Don't go right or left
Don't go right or left
Don't go right or left
Don't go right or left
Don't go right or left
Don't go right or left
Don't go right or left
Don't go right or left
Don't go right or left
Don't go right or left
Don't go right or left
Speed Limit 30
Speed Limit 30
Speed Limit 40
Danger ahead
Danger ahead
Speed Limit 30
Speed Limit 40
Danger ahead
Danger ahead
Danger ahead
Speed Limit 30
Danger ahead
Danger ahead
Danger ahead
Danger ahead
